RandomSeed,Nfeat,ClassRatio,FlipYProb,Path
2021,500,10,0.1,datasets/simulated_dataset_classfication_Nfeat500_classratio10_flipy0.1_randomseed2021.csv
2021,500,10,0.2,datasets/simulated_dataset_classfication_Nfeat500_classratio10_flipy0.2_randomseed2021.csv
2021,500,100,0.01,datasets/simulated_dataset_classfication_Nfeat500_classratio100_flipy0.01_randomseed2021.csv
2021,500,100,0.1,datasets/simulated_dataset_classfication_Nfeat500_classratio100_flipy0.1_randomseed2021.csv
2021,500,100,0.2,datasets/simulated_dataset_classfication_Nfeat500_classratio100_flipy0.2_randomseed2021.csv
2022,10,1,0.01,datasets/simulated_dataset_classfication_Nfeat10_classratio1_flipy0.01_randomseed2022.csv
2022,10,1,0.1,datasets/simulated_dataset_classfication_Nfeat10_classratio1_flipy0.1_randomseed2022.csv
2022,10,1,0.2,datasets/simulated_dataset_classfication_Nfeat10_classratio1_flipy0.2_randomseed2022.csv
2022,10,10,0.01,datasets/simulated_dataset_classfication_Nfeat10_classratio10_flipy0.01_randomseed2022.csv
2022,10,10,0.1,datasets/simulated_dataset_classfication_Nfeat10_classratio10_flipy0.1_randomseed2022.csv
2022,10,10,0.2,datasets/simulated_dataset_classfication_Nfeat10_classratio10_flipy0.2_randomseed2022.csv
2022,10,100,0.01,datasets/simulated_dataset_classfication_Nfeat10_classratio100_flipy0.01_randomseed2022.csv
2022,10,100,0.1,datasets/simulated_dataset_classfication_Nfeat10_classratio100_flipy0.1_randomseed2022.csv
2022,10,100,0.2,datasets/simulated_dataset_classfication_Nfeat10_classratio100_flipy0.2_randomseed2022.csv
2022,100,1,0.01,datasets/simulated_dataset_classfication_Nfeat100_classratio1_flipy0.01_randomseed2022.csv
2022,100,1,0.1,datasets/simulated_dataset_classfication_Nfeat100_classratio1_flipy0.1_randomseed2022.csv
2022,100,1,0.2,datasets/simulated_dataset_classfication_Nfeat100_classratio1_flipy0.2_randomseed2022.csv
2022,100,10,0.01,datasets/simulated_dataset_classfication_Nfeat100_classratio10_flipy0.01_randomseed2022.csv
2022,100,10,0.1,datasets/simulated_dataset_classfication_Nfeat100_classratio10_flipy0.1_randomseed2022.csv
2022,100,10,0.2,datasets/simulated_dataset_classfication_Nfeat100_classratio10_flipy0.2_randomseed2022.csv
2022,100,100,0.01,datasets/simulated_dataset_classfication_Nfeat100_classratio100_flipy0.01_randomseed2022.csv
2022,100,100,0.1,datasets/simulated_dataset_classfication_Nfeat100_classratio100_flipy0.1_randomseed2022.csv
2022,100,100,0.2,datasets/simulated_dataset_classfication_Nfeat100_classratio100_flipy0.2_randomseed2022.csv
2022,500,1,0.01,datasets/simulated_dataset_classfication_Nfeat500_classratio1_flipy0.01_randomseed2022.csv
2022,500,1,0.1,datasets/simulated_dataset_classfication_Nfeat500_classratio1_flipy0.1_randomseed2022.csv
2022,500,1,0.2,datasets/simulated_dataset_classfication_Nfeat500_classratio1_flipy0.2_randomseed2022.csv
